N	Seq1	Seq2	Seq3	Seq4
132	88 | SA150_0088 | . | Acetaldehyde dehydrogenase (EC 1.2.1.10) / Alcohol dehydrogenase (EC 1.1.1.1) | dir | [106001..108610]	108 | SA597_0108 | . | Acetaldehyde dehydrogenase (EC 1.2.1.10) / Alcohol dehydrogenase (EC 1.1.1.1) | dir | [122867..125476]	88 | K8B78_00450 | adhE | bifunctional acetaldehyde-CoA/alcohol dehydrogenase | dir | [106500..109109]	123 | HMPRNC0000_0144 | aad | Acetaldehyde dehydrogenase / Alcohol dehydrogenase | dir | [146144..148753]
133	89 | SA150_0089 | . | Capsular polysaccharide synthesis enzyme Cap5A / Tyrosine-protein kinase transmembrane modulator EpsC | dir | [108955..109623]	109 | SA597_0109 | . | Capsular polysaccharide synthesis enzyme Cap5A / Tyrosine-protein kinase transmembrane modulator EpsC | dir | [125820..126488]	89 | K8B78_00455 | capA | capsular polysaccharide type 5/8 biosynthesis protein CapA | dir | [109454..110122]	124 | HMPRNC0000_0148 | cap8A | Capsular polysaccharide synthesis enzyme Cap5A | dir | [149098..149766]
134	90 | SA150_0090 | . | Tyrosine-protein kinase EpsD (EC 2.7.10.2) / Capsular polysaccharide synthesis enzyme Cap5B | dir | [109639..110325]	110 | SA597_0110 | . | Tyrosine-protein kinase EpsD (EC 2.7.10.2) / Capsular polysaccharide synthesis enzyme Cap5B | dir | [126504..127190]	90 | K8B78_00460 | cap8B | type 8 capsular polysaccharide synthesis protein Cap8B | dir | [110138..110824]	125 | HMPRNC0000_0150 | cap5B | Tyrosine-protein kinase EpsD / Capsular polysaccharide synthesis enzyme Cap5B | dir | [149782..150465]
135	91 | SA150_0091 | . | Capsular polysaccharide synthesis enzyme Cap5C; Manganese-dependent protein-tyrosine phosphatase (EC 3.1.3.48) | dir | [110328..111092]	111 | SA597_0111 | . | Capsular polysaccharide synthesis enzyme Cap5C; Manganese-dependent protein-tyrosine phosphatase (EC 3.1.3.48) | dir | [127193..127957]	91 | K8B78_00465 | cap8C | type 8 capsular polysaccharide synthesis protein Cap8C | dir | [110827..111591]	126 | HMPRNC0000_0151 | epsC | Capsular polysaccharide synthesis enzyme Cap5C, Manganese-dependent protein-tyrosine phosphatase | dir | [150468..151232]
136	92 | SA150_0092 | . | Probable polysaccharide biosynthesis protein EpsC | dir | [111112..112935]	112 | SA597_0112 | . | Probable polysaccharide biosynthesis protein EpsC | dir | [127977..129800]	92 | K8B78_00470 | cap8D | type 8 capsular polysaccharide synthesis protein Cap8D | dir | [111611..113434]	127 | HMPRNC0000_0152 | capD | putative polysaccharide biosynthesis protein EpsC | dir | [151938..153074]
138	93 | SA150_0093 | . | Capsular polysaccharide synthesis enzyme Cap8E | dir | [112925..113953]	113 | SA597_0113 | . | Capsular polysaccharide synthesis enzyme Cap8E | dir | [129790..130818]	93 | K8B78_00475 | cap8E | type 8 capsular polysaccharide synthesis protein Cap8E | dir | [113424..114452]	128 | HMPRNC0000_0154 | galE2 | UDP-N-acetylglucosamine 4,6-dehydratase | dir | [153273..154091]
139	94 | SA150_0094 | . | Capsular polysaccharide synthesis enzyme Cap5F | dir | [113966..115075]	114 | SA597_0114 | . | Capsular polysaccharide synthesis enzyme Cap5F | dir | [130831..131940]	94 | K8B78_00480 | cap8F | type 8 capsular polysaccharide synthesis protein Cap8F | dir | [114465..115574]	129 | HMPRNC0000_0155 | cap5F | Capsular polysaccharide synthesis enzyme Cap5F | dir | [154104..155213]
140	95 | SA150_0095 | . | UDP-N-acetyl-L-fucosamine synthase (EC 5.1.3.28) | dir | [115079..116203]	115 | SA597_0115 | . | UDP-N-acetyl-L-fucosamine synthase (EC 5.1.3.28) | dir | [131944..133068]	95 | K8B78_00485 | cap8G | type 8 capsular polysaccharide synthesis protein Cap8G | dir | [115578..116702]	130 | HMPRNC0000_0156 | capG | UDP-N-acetyl-L-fucosamine synthase | dir | [155217..156341]
145	100 | SA150_0100 | . | Capsular polysaccharide synthesis enzyme Cap5L | dir | [120507..121712]	120 | SA597_0120 | . | Capsular polysaccharide synthesis enzyme Cap5L | dir | [137372..138577]	100 | K8B78_00510 | cap8L | type 8 capsular polysaccharide synthesis protein Cap8L | dir | [121006..122211]	135 | HMPRNC0000_0161 | cap5L | Capsular polysaccharide synthesis enzyme Cap5L | dir | [160463..161668]
146	101 | SA150_0101 | . | Capsular polysaccharide synthesis enzyme Cap8M | dir | [121723..122280]	121 | SA597_0121 | . | Capsular polysaccharide synthesis enzyme Cap8M | dir | [138588..139145]	101 | K8B78_00515 | cap8M | type 8 capsular polysaccharide synthesis protein Cap8M | dir | [122222..122779]	136 | HMPRNC0000_0162 | cap5M | Capsular polysaccharide synthesis enzyme Cap8M | dir | [161679..162236]
147	102 | SA150_0102 | . | Capsular polysaccharide synthesis enzyme Cap8N | dir | [122280..123167]	122 | SA597_0122 | . | Capsular polysaccharide synthesis enzyme Cap8N | dir | [139145..140032]	102 | K8B78_00520 | capN | capsular polysaccharide type 5/8 biosynthesis epimerase CapN | dir | [122779..123666]	137 | HMPRNC0000_0163 | cap5N | Capsular polysaccharide synthesis enzyme Cap8N | dir | [162236..163123]
148	103 | SA150_0103 | . | UDP-N-acetyl-D-mannosamine dehydrogenase (EC 1.1.1.336) | dir | [123221..124483]	123 | SA597_0123 | . | UDP-N-acetyl-D-mannosamine dehydrogenase (EC 1.1.1.336) | dir | [140087..141349]	103 | K8B78_00525 | cap8O | type 8 capsular polysaccharide synthesis protein Cap8O | dir | [123720..124982]	138 | HMPRNC0000_0164 | epsD | UDP-N-acetyl-D-mannosamine dehydrogenase | dir | [163177..164439]
149	104 | SA150_0104 | . | UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14) | dir | [124560..125705]	124 | SA597_0124 | . | UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14) | dir | [141426..142571]	104 | K8B78_00530 | cap8P | type 8 capsular polysaccharide synthesis protein Cap8P | dir | [125059..126204]	139 | HMPRNC0000_0166 | capP | UDP-N-acetylglucosamine 2-epimerase | dir | [164516..165661]
150	105 | SA150_0105 | . | Heme-degrading monooxygenase, staphylobilin-producing (EC 1.14.99.48) | rev | [125770..126096]	125 | SA597_0125 | . | Heme-degrading monooxygenase, staphylobilin-producing (EC 1.14.99.48) | rev | [142636..142962]	105 | K8B78_00535 | isdI | staphylobilin-forming heme oxygenase IsdI | rev | [126269..126595]	140 | HMPRNC0000_0167 | isdG | Heme-degrading monooxygenase, staphylobilin-producing | rev | [165726..166052]
151	106 | SA150_0106 | . | Inner membrane protein YbaN | rev | [126103..126486]	126 | SA597_0126 | . | Inner membrane protein YbaN | rev | [142969..143352]	106 | K8B78_00540 | . | YbaN family protein | rev | [126602..126985]	141 | HMPRNC0000_0168 | . | Inner membrane protein YbaN | rev | [166059..166442]
152	107 | SA150_0107 | . | Aldehyde dehydrogenase B (EC 1.2.1.22) | dir | [126913..128400]	127 | SA597_0127 | . | Aldehyde dehydrogenase B (EC 1.2.1.22) | dir | [143779..145266]	107 | K8B78_00545 | . | aldehyde dehydrogenase family protein | dir | [127412..128899]	142 | HMPRNC0000_0169 | aldA2 | Aldehyde dehydrogenase B | dir | [166869..168356]
153	108 | SA150_0108 | . | Cobalt-zinc-cadmium resistance protein | dir | [129046..130005]	129 | SA597_0129 | . | Cobalt-zinc-cadmium resistance protein | dir | [145912..146871]	108 | K8B78_00550 | . | cation diffusion facilitator family transporter | dir | [129546..130505]	143 | HMPRNC0000_0171 | . | Cobalt-zinc-cadmium resistance protein | dir | [169003..169962]
154	109 | SA150_0109 | . | hypothetical protein | rev | [130357..130560]	130 | SA597_0130 | . | hypothetical protein | rev | [146933..147136]	109 | K8B78_00555 | . | hypothetical protein | rev | [130567..130770]	144 | HMPRNC0000_0172 | . | hypothetical protein | rev | [170256..170459]
155	110 | SA150_0110 | . | hypothetical protein | dir | [130739..131251]	131 | SA597_0131 | . | hypothetical protein | dir | [147315..147827]	110 | K8B78_00560 | . | DUF4242 domain-containing protein | dir | [130950..131462]	145 | HMPRNC0000_0173 | . | hypothetical protein | dir | [170638..171150]
156	111 | SA150_0111 | . | ABC transporter, ATP-binding protein | dir | [131593..132333]	132 | SA597_0132 | . | ABC transporter, ATP-binding protein | dir | [148169..148909]	111 | K8B78_00565 | . | ABC transporter ATP-binding protein | dir | [131804..132544]	146 | HMPRNC0000_0175 | . | ABC transporter, ATP-binding protein | dir | [171492..172232]
157	112 | SA150_0112 | . | hypothetical protein | dir | [132347..133321]	133 | SA597_0133 | . | hypothetical protein | dir | [148923..149897]	112 | K8B78_00570 | . | ABC transporter substrate-binding protein | dir | [132558..133532]	147 | HMPRNC0000_0176 | . | hypothetical protein | dir | [172246..173220]
158	113 | SA150_0113 | . | ABC transporter, permease protein (cluster 10, nitrate/sulfonate/bicarbonate) | dir | [133318..134079]	134 | SA597_0134 | . | ABC transporter, permease protein (cluster 10, nitrate/sulfonate/bicarbonate) | dir | [149894..150655]	113 | K8B78_00575 | . | ABC transporter permease | dir | [133529..134290]	148 | HMPRNC0000_0177 | . | ABC transporter, permease protein (cluster 10, nitrate/sulfonate/bicarbonate) | dir | [173217..173978]
160	114 | SA150_0114 | . | Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.8.1) | dir | [134089..135123]	135 | SA597_0135 | . | Acyl-CoA dehydrogenase, short-chain specific (EC 1.3.8.1) | dir | [150665..151699]	114 | K8B78_00580 | . | acyl-CoA/acyl-ACP dehydrogenase | dir | [134303..135334]	149 | HMPRNC0000_0178 | . | Acyl-CoA dehydrogenase, short-chain specific | dir | [173988..175022]
163	117 | SA150_0117 | . | Integral membrane protein | dir | [137283..138533]	2573 | SA597_2573 | . | integral membrane protein | rev | [2743295..2744512]	117 | K8B78_00595 | . | MFS transporter | dir | [137492..138742]	152 | HMPRNC0000_0181 | . | Integral membrane protein | dir | [177183..178433]
164	118 | SA150_0118 | . | Polyketide synthase modules and related proteins | dir | [138979..146154]	137 | SA597_0137 | . | Polyketide synthase modules and related proteins | dir | [153758..160933]	118 | K8B78_00600 | . | amino acid adenylation domain-containing protein | dir | [139189..146364]	153 | HMPRNC0000_0182 | . | polyketide synthase | dir | [178880..185740]
166	119 | SA150_0119 | . | 4'-phosphopantetheinyl transferase (EC 2.7.8.-) | dir | [146167..146811]	138 | SA597_0138 | . | 4'-phosphopantetheinyl transferase (EC 2.7.8.-) | dir | [160946..161590]	119 | K8B78_00605 | . | 4'-phosphopantetheinyl transferase superfamily protein | dir | [146377..147021]	154 | HMPRNC0000_0184 | acpS2 | 4'-phosphopantetheinyl transferase | dir | [186067..186711]
167	120 | SA150_0120 | . | hypothetical protein | rev | [147139..147633]	139 | SA597_0139 | . | hypothetical protein | rev | [161919..162413]	120 | K8B78_00610 | . | YagU family protein | rev | [147350..147829]	155 | HMPRNC0000_0185 | . | hypothetical protein | rev | [187039..187518]
168	121 | SA150_0121 | . | N-acetylglutamate kinase (EC 2.7.2.8) | rev | [147886..148650]	140 | SA597_0140 | . | N-acetylglutamate kinase (EC 2.7.2.8) | rev | [162683..163453]	121 | K8B78_00615 | argB | acetylglutamate kinase | rev | [148114..148884]	156 | HMPRNC0000_0186 | argB | Acetylglutamate kinase | rev | [187771..188535]
169	122 | SA150_0122 | . | Glutamate N-acetyltransferase (EC 2.3.1.35) @ N-acetylglutamate synthase (EC 2.3.1.1) | rev | [148666..149907]	141 | SA597_0141 | . | Glutamate N-acetyltransferase (EC 2.3.1.35) @ N-acetylglutamate synthase (EC 2.3.1.1) | rev | [163469..164710]	122 | K8B78_00620 | argJ | bifunctional glutamate N-acetyltransferase/amino-acid acetyltransferase ArgJ | rev | [148900..150141]	157 | HMPRNC0000_0187 | argJ | Glutamate N-acetyltransferase and N-acetylglutamate synthase | rev | [188551..189792]
171	124 | SA150_0124 | . | Ornithine aminotransferase (EC 2.6.1.13) | rev | [150989..152173]	143 | SA597_0143 | . | Ornithine aminotransferase (EC 2.6.1.13) | rev | [165792..166976]	124 | K8B78_00630 | rocD | ornithine--oxo-acid transaminase | rev | [151223..152407]	159 | HMPRNC0000_0190 | rocD | Acetylornithine aminotransferase 1 | rev | [190874..192058]
172	125 | SA150_0125 | . | Na(+)-dependent branched-chain amino acid transporter | rev | [152426..153781]	144 | SA597_0144 | . | Na(+)-dependent branched-chain amino acid transporter | rev | [167731..169086]	125 | K8B78_00635 | brnQ | branched-chain amino acid transport system II carrier protein | rev | [152660..154015]	160 | HMPRNC0000_0191 | brnQ | Branched-chain amino acid transport system carrier protein | rev | [192311..193648]
173	126 | SA150_0126 | . | Uncharacterized isochorismatase family protein YwoC | rev | [154060..154617]	145 | SA597_0145 | . | Uncharacterized isochorismatase family protein YwoC | rev | [169363..169920]	126 | K8B78_00640 | . | isochorismatase family protein | rev | [154293..154850]	161 | HMPRNC0000_0192 | entB3 | isochorismatase family protein YwoC | rev | [193927..194484]
174	127 | SA150_0127 | . | Pyruvate decarboxylase (EC 4.1.1.1); Alpha-keto-acid decarboxylase (EC 4.1.1.-) | rev | [154684..156324]	146 | SA597_0146 | . | Pyruvate decarboxylase (EC 4.1.1.1); Alpha-keto-acid decarboxylase (EC 4.1.1.-) | rev | [169987..171627]	127 | K8B78_00645 | . | alpha-keto acid decarboxylase family protein | rev | [154917..156557]	162 | HMPRNC0000_0194 | ipdC | Pyruvate decarboxylase, Alpha-keto-acid decarboxylase | rev | [194551..196191]
175	128 | SA150_0128 | . | PTS system, glucose-specific IIC component / PTS system, glucose-specific IIB component (EC 2.7.1.199) / PTS system, glucose-specific IIA component (EC 2.7.1.199) | rev | [156597..158642]	148 | SA597_0148 | . | PTS system, glucose-specific IIC component / PTS system, glucose-specific IIB component (EC 2.7.1.199) / PTS system, glucose-specific IIA component (EC 2.7.1.199) | rev | [171899..173944]	129 | K8B78_00655 | ptsG | glucose-specific PTS transporter subunit IIBC | rev | [156829..158874]	163 | HMPRNC0000_0196 | ptbA | PTS system, glucose-specific IIC/IIB/IIA component | rev | [196465..198153]
179	129 | SA150_0129 | . | Outer surface protein of unknown function, cellobiose operon | dir | [159228..160283]	149 | SA597_0149 | . | Outer surface protein of unknown function, cellobiose operon | dir | [174529..175584]	130 | K8B78_00660 | . | DUF871 domain-containing protein | dir | [159459..160514]	164 | HMPRNC0000_0200 | . | Outer surface protein of unknown function, cellobiose operon | dir | [199096..200151]
181	130 | SA150_0130 | . | N-acetylmuramic acid 6-phosphate etherase (EC 4.2.1.126) | dir | [160283..161179]	150 | SA597_0150 | . | N-acetylmuramic acid 6-phosphate etherase (EC 4.2.1.126) | dir | [175584..176480]	131 | K8B78_00665 | murQ | N-acetylmuramic acid 6-phosphate etherase | dir | [160514..161410]	165 | HMPRNC0000_0203 | murQ | N-acetylmuramic acid 6-phosphate etherase | dir | [200151..201041]
182	131 | SA150_0131 | . | PTS system, N-acetylmuramic acid-specific IIB component (EC 2.7.1.192) / PTS system, N-acetylmuramic acid-specific IIC component | dir | [161191..162645]	151 | SA597_0151 | . | PTS system, N-acetylmuramic acid-specific IIB component (EC 2.7.1.192) / PTS system, N-acetylmuramic acid-specific IIC component | dir | [176492..177946]	132 | K8B78_00670 | . | PTS transporter subunit EIIC | dir | [161422..162876]	166 | HMPRNC0000_0204 | sacX | PTS system, N-acetylmuramic acid-specific IIB/IIC component | dir | [201053..202507]
183	132 | SA150_0132 | . | Transcriptional regulator, RpiR family | dir | [162645..163523]	152 | SA597_0152 | . | Transcriptional regulator, RpiR family | dir | [177946..178824]	133 | K8B78_00675 | . | MurR/RpiR family transcriptional regulator | dir | [162879..163754]	167 | HMPRNC0000_0205 | . | Transcriptional regulator, RpiR family | dir | [202507..203385]
185	134 | SA150_0134 | . | Type I restriction-modification system, restriction subunit R (EC 3.1.21.3) | dir | [164780..167569]	154 | SA597_0154 | . | Type I restriction-modification system, restriction subunit R (EC 3.1.21.3) | dir | [179513..182302]	135 | K8B78_00685 | . | type I restriction endonuclease subunit R | dir | [164443..167232]	169 | HMPRNC0000_0207 | hsdR | Type I restriction-modification system, restriction subunit R | dir | [204073..206862]
189	138 | SA150_0138 | . | Putative glutathione transporter, ATP-binding component | rev | [170905..172497]	156 | SA597_0156 | . | Putative glutathione transporter, ATP-binding component | rev | [183571..185163]	137 | K8B78_00695 | . | ABC transporter ATP-binding protein | rev | [168500..170092]	180 | HMPRNC0000_0219 | oppF | Putative glutathione transporter, ATP-binding component | rev | [214990..216300]
191	139 | SA150_0139 | . | Putative glutathione transporter, permease component | dir | [172499..173932]	157 | SA597_0157 | . | Putative glutathione transporter, permease component | dir | [185165..186598]	138 | K8B78_00700 | . | ABC transporter permease | dir | [170049..171527]	181 | HMPRNC0000_0221 | . | Putative glutathione transporter, permease component | dir | [216527..217960]
192	140 | SA150_0140 | . | Putative glutathione transporter, permease component; Dipeptide ABC transporter, permease protein DppC (TC 3.A.1.5.2) | dir | [173938..175101]	158 | SA597_0158 | . | Putative glutathione transporter, permease component; Dipeptide ABC transporter, permease protein DppC (TC 3.A.1.5.2) | dir | [186604..187767]	139 | K8B78_00705 | . | ABC transporter permease | dir | [171533..172696]	182 | HMPRNC0000_0222 | . | Putative glutathione transporter/Dipeptide transport system permease protein DppC | dir | [217966..219129]
193	141 | SA150_0141 | . | RGD-containing lipoprotein | dir | [175118..176893]	159 | SA597_0159 | . | RGD-containing lipoprotein | dir | [187784..189559]	140 | K8B78_00710 | . | peptide ABC transporter substrate-binding protein | dir | [172713..174488]	183 | HMPRNC0000_0223 | . | RGD-containing lipoprotein | dir | [219146..220921]
194	142 | SA150_0142 | . | Gamma-glutamyltranspeptidase (EC 2.3.2.2) @ Glutathione hydrolase (EC 3.4.19.13) | dir | [176931..178937]	160 | SA597_0160 | . | Gamma-glutamyltranspeptidase (EC 2.3.2.2) @ Glutathione hydrolase (EC 3.4.19.13) | dir | [189597..191603]	141 | K8B78_00715 | ggt | gamma-glutamyltransferase | dir | [174526..176532]	184 | HMPRNC0000_0224 | ggt | Gamma-glutamyltranspeptidase and Glutathione hydrolase | dir | [220959..222965]
197	144 | SA150_0144 | . | FMN-dependent NADH-azoreductase (EC 1.7.1.6) | rev | [180198..180824]	162 | SA597_0162 | . | FMN-dependent NADH-azoreductase (EC 1.7.1.6) | rev | [192880..193506]	142 | K8B78_00720 | . | FMN-dependent NADH-azoreductase | rev | [177069..177695]	186 | HMPRNC0000_0226 | . | FMN-dependent NADH-azoreductase | rev | [224225..224851]
